Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.75,4783,11,177,2501,0.9748394004282656,0.9339058999253174
0.76,4783,11,178,2500,0.9747055674518201,0.9335324869305451
0.77,4783,11,181,2497,0.974304068522484,0.9324122479462286
0.78,4783,11,182,2496,0.9741702355460385,0.9320388349514563
0.79,4783,11,187,2491,0.9735010706638115,0.9301717699775952
0.8,4785,9,192,2486,0.9730995717344754,0.9283047050037341
0.81,4786,8,195,2483,0.9728319057815846,0.9271844660194175
0.8200000000000001,4787,7,199,2479,0.9724304068522484,0.9256908140403286
0.8300000000000001,4787,7,200,2478,0.972296573875803,0.9253174010455564
0.84,4788,6,204,2474,0.9718950749464668,0.9238237490664675
0.85,4788,6,208,2470,0.9713597430406852,0.9223300970873787
0.86,4788,6,212,2466,0.9708244111349036,0.9208364451082898
0.87,4789,5,216,2462,0.9704229122055674,0.9193427931292009
0.88,4790,4,222,2456,0.9697537473233405,0.9171023151605676
0.89,4790,4,226,2452,0.9692184154175589,0.9156086631814787
0.9,4790,4,228,2450,0.9689507494646681,0.9148618371919343
0.91,4791,3,233,2445,0.9684154175588865,0.9129947722180732
0.92,4791,3,241,2437,0.9673447537473233,0.9100074682598954
0.93,4791,3,246,2432,0.9666755888650964,0.9081404032860344
0.9400000000000001,4791,3,249,2429,0.9662740899357601,0.9070201643017177
0.9500000000000001,4791,3,261,2417,0.9646680942184154,0.9025392083644511
0.96,4791,3,271,2407,0.9633297644539615,0.8988050784167289
0.97,4791,3,283,2395,0.9617237687366167,0.8943241224794622
0.98,4793,1,298,2380,0.9599839400428265,0.888722927557879
0.99,4793,1,333,2345,0.9552997858672377,0.8756534727408514
1.0,4794,0,1155,1523,0.8454229122055674,0.5687079910380881
