Orbit,First no panel,Last no panel,Last Frame,# No panel,% No panel,Glare,Glare Start 1,Glare End 1,Glare Start 2,Glare End 2,Notes,,,,,,Very Good,"MLSPB covers most sp, 0-15-frame difference"
13081,,,,,,0,,,,,,,,,,,,
13082,,,,,,0,,,,,,,,,,,,
13083,,,,,,0,,,,,,,,,,,,
13084,,,,,,0,,,,,,,,,,,,
13085,,,,,,0,,,,,,,,,,,,
13086,,,,,,0,,,,,,,,,,,,
13087,,,,,,0,,,,,,,,,,,,
13088,,,,,,0,,,,,,,,,,,,
13089,,,,,,0,,,,,,,,,,,,
13090,,,,,,0,,,,,,,,,,,,
13091,,,,,,0,,,,,,,,,,,,
13092,,,,,,0,,,,,,,,,,,,
13093,,,,,,0,,,,,,,,,,,,
13094,,,,,,0,,,,,,,,,,,,
13095,,,,,,0,,,,,,,,,,,,
13096,,,,,,0,,,,,,,,,,,,
13097,,,,,,0,,,,,,,,,,,,
13098,,,,,,0,,,,,,,,,,,,
13099,,,,,,0,,,,,,,,,,,,
13100,,,,,,,,,,,Didn't download,,,,,,,
13101,,,,,,0,,,,,,,,,,,,
13102,,,,,,0,,,,,,,,,,,,
13103,,,,,,0,,,,,,,,,,,,
13104,,,,,,0,,,,,,,,,,,,
13105,,,,,,0,,,,,,,,,,,,
13106,,,,,,0,,,,,,,,,,,,
13107,,,,,,0,,,,,,,,,,,,
13108,,,,,,0,,,,,,,,,,,,
13109,,,,,,0,,,,,,,,,,,,
13110,,,,,,0,,,,,,,,,,,,
13111,,,,,,0,,,,,,,,,,,,
13112,,,,,,0,,,,,,,,,,,,
13113,,,,,,1,5,6,,,,,,,,,,
13114,,,,,,0,,,,,,,,,,,,
13115,,,,,,0,,,,,,,,,,,,
13116,,,,,,0,,,,,,,,,,,,
13117,,,,,,0,,,,,,,,,,,,
13118,,,,,,0,,,,,,,,,,,,
13119,,,,,,0,,,,,,,,,,,,
13120,,,,,,0,,,,,,,,,,,,
13121,,,,,,0,,,,,,,,,,,,
13122,,,,,,0,,,,,,,,,,,,
13123,,,,,,0,,,,,,,,,,,,
13124,,,,,,0,,,,,,,,,,,,
13125,,,,,,0,,,,,,,,,,,,
13126,,,,,,0,,,,,,,,,,,,
13127,,,,,,0,,,,,,,,,,,,
13128,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13129,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13130,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13131,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13132,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13133,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13134,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13135,,,,,,0,,,,,,,,,,,,
13136,,,,,,0,,,,,,,,,,,,
13137,,,,,,0,,,,,,,,,,,,
13138,,,,,,0,,,,,,,,,,,,
13139,,,,,,0,,,,,,,,,,,,
13140,,,,,,0,,,,,,,,,,,,
13141,,,,,,0,,,,,,,,,,,,
13142,,,,,,0,,,,,,,,,,,,
13143,,,,,,0,,,,,,,,,,,,
13144,,,,,,0,,,,,,,,,,,,
13145,,,,,,0,,,,,,,,,,,,
13146,,,,,,0,,,,,,,,,,,,
13147,,,,,,0,,,,,,,,,,,,
13148,,,,,,0,,,,,,,,,,,,
13149,,,,,,0,,,,,,,,,,,,
13150,,,,,,0,,,,,,,,,,,,
13151,,,,,,0,,,,,,,,,,,,
13152,,,,,,0,,,,,,,,,,,,
13153,,,,,,0,,,,,,,,,,,,
13154,,,,,,0,,,,,,,,,,,,
13155,,,,,,0,,,,,,,,,,,,
13156,,,,,,1,0,7,,,,,,,,,,
13157,,,,,,0,,,,,,,,,,,,
13158,,,,,,0,,,,,,,,,,,,
13159,,,,,,0,,,,,,,,,,,,
13160,,,,,,0,,,,,,,,,,,,
13161,,,,,,0,,,,,,,,,,,,
13162,,,,,,0,,,,,,,,,,,,
13163,,,,,,0,,,,,,,,,,,,
13164,,,,,,0,,,,,,,,,,,,
13165,,,,,,0,,,,,,,,,,,,
13166,,,,,,0,,,,,,,,,,,,
13167,,,,,,0,,,,,,,,,,,,
13168,,,,,,0,,,,,,,,,,,,
13169,,,,,,0,,,,,,,,,,,,
13170,,,,,,0,,,,,,,,,,,,
13171,,,,,,0,,,,,,,,,,,,
13172,,,,,,0,,,,,,,,,,,,
13173,,,,,,0,,,,,,,,,,,,
13174,,,,,,0,,,,,,,,,,,,
13175,,,,,,0,,,,,,,,,,,,
13176,,,,,,0,,,,,,,,,,,,
13177,,,,,,0,,,,,,,,,,,,
13178,,,,,,1,0,3,,,,,,,,,,
13179,,,,,,1,0,4,,,,,,,,,,
13180,,,,,,1,0,5,,,,,,,,,,
13181,,,,,,0,,,,,,,,,,,,
13182,,,,,,0,,,,,,,,,,,,
13183,,,,,,0,,,,,,,,,,,,
13184,,,,,,0,,,,,,,,,,,,
13185,,,,,,0,,,,,,,,,,,,
13186,,,,,,0,,,,,,,,,,,,
13187,,,,,,0,,,,,,,,,,,,
13188,,,,,,0,,,,,,,,,,,,
13189,,,,,,0,,,,,,,,,,,,
13190,,,,,,0,,,,,,,,,,,,
13191,,,,,,0,,,,,,,,,,,,
13192,,,,,,0,,,,,,,,,,,,
13193,,,,,,0,,,,,,,,,,,,
13194,,,,,,0,,,,,,,,,,,,
13195,,,,,,0,,,,,,,,,,,,
13196,,,,,,0,,,,,,,,,,,,
13197,,,,,,0,,,,,,,,,,,,
13198,,,,,,0,,,,,,,,,,,,
13199,,,,,,0,,,,,,,,,,,,
13200,,,,,,0,,,,,,,,,,,,
13201,,,,,,1,1897,1898,,,,,,,,,,
13202,,,,,,0,,,,,,,,,,,,
13203,,,,,,0,,,,,,,,,,,,
13204,,,,,,0,,,,,,,,,,,,
13205,,,,,,0,,,,,,,,,,,,
13206,,,,,,0,,,,,,,,,,,,
13207,,,,,,0,,,,,,,,,,,,
13208,,,,,,0,,,,,,,,,,,,
13209,,,,,,0,,,,,,,,,,,,
13210,,,,,,0,,,,,,,,,,,,
13211,,,,,,1,0,11,,,,,,,,,,
13212,,,,,,0,,,,,,,,,,,,
13213,,,,,,0,,,,,,,,,,,,
13214,,,,,,0,,,,,,,,,,,,
13215,,,,,,0,,,,,,,,,,,,
13216,,,,,,,,,,,Missing orbit,,,,,,,
13217,,,,,,,,,,,Missing orbit,,,,,,,
13218,,,,,,0,,,,,,,,,,,,
13219,,,,,,0,,,,,,,,,,,,
13220,,,,,,0,,,,,,,,,,,,
13221,,,,,,0,,,,,,,,,,,,
13222,,,,,,0,,,,,,,,,,,,
13223,,,,,,0,,,,,,,,,,,,
13224,,,,,,,,,,,Didn't download,,,,,,,
13225,,,,,,0,,,,,,,,,,,,
13226,,,,,,0,,,,,,,,,,,,
13227,,,,,,0,,,,,,,,,,,,
13228,,,,,,0,,,,,,,,,,,,
13229,,,,,,0,,,,,,,,,,,,
13230,,,,,,0,,,,,,,,,,,,
13231,,,,,,0,,,,,,,,,,,,
13232,,,,,,,,,,,Didn't download,,,,,,,
13233,,,,,,1,1928,1933,,,,,,,,,,
13234,,,,,,0,,,,,,,,,,,,
13235,,,,,,0,,,,,,,,,,,,
13236,,,,,,0,,,,,,,,,,,,
13237,,,,,,0,,,,,,,,,,,,
13238,,,,,,0,,,,,,,,,,,,
13239,,,,,,0,,,,,,,,,,,,
13240,,,,,,0,,,,,,,,,,,,
13241,,,,,,0,,,,,,,,,,,,
13242,,,,,,0,,,,,,,,,,,,
13243,,,,,,1,1916,1919,,,,,,,,,,
13244,,,,,,0,,,,,,,,,,,,
13245,,,,,,1,1917,1925,,,,,,,,,,
13246,,,,,,0,,,,,,,,,,,,
13247,,,,,,0,,,,,,,,,,,,
13248,,,,,,0,,,,,,,,,,,,
13249,,,,,,0,,,,,,,,,,,,
13250,,,,,,0,,,,,,,,,,,,
13251,,,,,,0,,,,,,,,,,,,
13252,,,,,,0,,,,,,,,,,,,
13253,,,,,,0,,,,,,,,,,,,
13254,,,,,,0,,,,,,,,,,,,
13255,,,,,,0,,,,,,,,,,,,
13256,,,,,,0,,,,,,,,,,,,
13257,,,,,,1,1909,1912,,,,,,,,,,
13258,,,,,,0,,,,,,,,,,,,
13259,,,,,,0,,,,,,,,,,,,
13260,,,,,,0,,,,,,,,,,,,
13261,,,,,,0,,,,,,,,,,,,
13262,,,,,,0,,,,,,,,,,,,
13263,,,,,,0,,,,,,,,,,,,
13264,,,,,,0,,,,,,,,,,,,
13265,,,,,,0,,,,,,,,,,,,
13266,,,,,,0,,,,,,,,,,,,
13267,,,,,,0,,,,,,,,,,,,
13268,,,,,,0,,,,,,,,,,,,
13269,,,,,,0,,,,,,,,,,,,
13270,,,,,,0,,,,,,,,,,,,
13271,,,,,,0,,,,,,,,,,,,
13272,,,,,,0,,,,,,,,,,,,
13273,,,,,,0,,,,,,,,,,,,
13274,,,,,,0,,,,,,,,,,,,
13275,,,,,,0,,,,,,,,,,,,
13276,,,,,,0,,,,,,,,,,,,
13277,,,,,,0,,,,,,,,,,,,
13278,,,,,,0,,,,,,,,,,,,
13279,,,,,,0,,,,,,,,,,,,
13280,,,,,,0,,,,,,,,,,,,
